
Bulbasaur Diamond           For some time after its birth, it grows by taking nourishment from the seed on its back.
Aron Pearl         It usually lives deep in mountains. But when it's hungry, it shows up at the foot of the mountains and eats railroad tracks and cars.

Meditite Diamond           It meditates in order to build up its mental energy. It's said to eat just one Berry a day.

Manectric Diamond           It discharges electricity from its mane. The Pokémon creates a thundercloud overhead from which to drop lightning bolts.

Manectric Pearl         It discharges electricity from its mane. The Pokémon creates a thundercloud overhead from which to drop lightning bolts.

Minun Diamond           It cheers on friends. If its friends are losing, its body lets off more and more sparks.

Minun Pearl         It cheers on friends. If its friends are losing, its body lets off more and more sparks.

Volbeat Diamond           It communicates with others by lighting up its rear at night. It loves Illumise's sweet aroma.

Volbeat Pearl         It communicates with others by lighting up its rear at night. It loves Illumise's sweet aroma.

Roselia Pearl         The beautiful flowers on its arms have toxic thorns. Don't even think about picking those flowers.

Gulpin Diamond           Almost all its body is its stomach. Its harsh digestive juices quickly dissolve anything it swallows.

Gulpin Pearl         Almost all its body is its stomach. Its harsh digestive juices quickly dissolve anything it swallows.

Sharpedo Diamond           Its fangs rip through sheet iron. It swims at 75 mph and is known as the Bully of the Sea.

Sharpedo Pearl         Its fangs rip through sheet iron. It swims at 75 mph and is known as the Bully of the Sea.

Wailmer Diamond           On sunny days, it lands on beaches to bounce like a ball and play. It spouts water from its nostrils.

Wailmer Pearl         On sunny days, it lands on beaches to bounce like a ball and play. It spouts water from its nostrils.

Wailord Diamond           It's the biggest of all Pokémon. It can dive to a depth of almost 10,000 feet on only one breath.

Wailord Pearl         It's the biggest of all Pokémon. It can dive to a depth of almost 10,000 feet on only one breath.

Numel Diamond           Its humped back stores intensely hot magma. In rain, the magma cools, slowing Numel down.

Numel Pearl         Its humped back stores intensely hot magma. In rain, the magma cools, slowing Numel down.

Torkoal Diamond           It burns coal inside its shell for energy. It blows out black soot if it is in a tough situation.

Torkoal Pearl         It burns coal inside its shell for energy. It blows out black soot if it is in a tough situation.

Spoink Diamond           It bounces constantly, using its tail like a spring. The shock of bouncing keeps its heart beating.

Spoink Pearl         It bounces constantly, using its tail like a spring. The shock of bouncing keeps its heart beating.

Grumpig Diamond           It uses black pearls to amplify its psychic power. It does an odd dance to gain control over foes.

Grumpig Pearl         It uses black pearls to amplify its psychic power. It does an odd dance to gain control over foes.

Spinda Diamond           No two Spinda have the same pattern of spots. Their tottering steps hinder the aim of foes.

Spinda Pearl         No two Spinda have the same pattern of spots. Their tottering steps hinder the aim of foes.

Flygon Diamond           It whips up sandstorms with powerful flaps of its wings. It is known as the Desert Spirit.

Flygon Pearl         It whips up sandstorms with powerful flaps of its wings. It is known as the Desert Spirit.

Cacturne Diamond           It becomes active at night, seeking prey that is exhausted from the day's desert heat.

Cacturne Pearl         It becomes active at night, seeking prey that is exhausted from the day's desert heat.

Swablu Diamond           Its wings are like cotton tufts. If it perches on someone's head, it looks like a cotton hat.

Swablu Pearl         Its wings are like cotton tufts. If it perches on someone's head, it looks like a cotton hat.

Zangoose Diamond           It has feuded with Seviper for many generations. Its sharp claws are its greatest weapons.

Zangoose Pearl         It has feuded with Seviper for many generations. Its sharp claws are its greatest weapons.

Lunatone Diamond           It becomes active on nights with a full moon, so it is said to have some link to the lunar phases.

Lunatone Pearl         It becomes active on nights with a full moon, so it is said to have some link to the lunar phases.

Solrock Diamond           This new Pokémon species is rumored to be an avatar of the sun. The Pokémon gives off light while spinning.

Solrock Pearl         This new Pokémon species is rumored to be an avatar of the sun. The Pokémon gives off light while spinning.

Whiscash Pearl         As a result of causing tremors by thrashing about, it developed the ability to foretell real quakes.

Claydol Diamond           An ancient clay figurine was exposed to a mysterious ray of light, and it came to life as a Pokémon.

Claydol Pearl         An ancient clay figurine was exposed to a mysterious ray of light, and it came to life as a Pokémon.

Cradily Diamond           It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches.

Cradily Pearl         It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches.

Anorith Diamond           This Pokémon ancestor was reanimated from a fossil. It lived in the sea and hunted with its claws.

Anorith Pearl         This Pokémon ancestor was reanimated from a fossil. It lived in the sea and hunted with its claws.

Feebas Diamond           They are famous for their shabby appearance. Although populous, they tend to cluster in set locations.

Milotic Pearl         It is the world's most beautiful Pokémon. There are many works of art featuring Milotic.

Kecleon Diamond           It can freely change its body's color. The zigzag pattern on its belly doesn't change, however.

Kecleon Pearl         It can freely change its body's color. The zigzag pattern on its belly doesn't change, however.

Shuppet Diamond           They love vengeful emotions and hang in rows under the eaves of houses where vengeful people live.

Shuppet Pearl         They love vengeful emotions and hang in rows under the eaves of houses where vengeful people live.

Banette Diamond           A doll bore a grudge over being junked, and it became a Pokémon. It seeks the child that disowned it.

Banette Pearl         A doll bore a grudge over being junked, and it became a Pokémon. It seeks the child that disowned it.

Duskull Diamond           It doggedly pursues its prey wherever the prey goes. However, the chase is abandoned at sunrise.

Duskull Pearl         It doggedly pursues its prey wherever the prey goes. However, the chase is abandoned at sunrise.

Chimecho Pearl         Chimecho emits ultrasonic cries. It floats on the wind to travel great distances.

Wynaut Diamond           They grow strong by pushing up against one another en masse. They love eating sweet fruit.

Wynaut Pearl         They grow strong by pushing up against one another en masse. They love eating sweet fruit.

Snorunt Diamond           In some snowy lands, certain folklore says a house will prosper if a Snorunt lives there.

Snorunt Pearl         In some snowy lands, certain folklore says a house will prosper if a Snorunt lives there.

Glalie Diamond           To protect itself, it clad its body in an armor of ice, made by freezing moisture in the air.

Glalie Pearl         To protect itself, it clad its body in an armor of ice, made by freezing moisture in the air.

Walrein Diamond           It shatters ice with its big tusks. Its thick blubber repels not only the cold but also enemy attacks.

Walrein Pearl         It shatters ice with its big tusks. Its thick blubber repels not only the cold but also enemy attacks.

Relicanth Diamond           This rare Pokémon was discovered during a deep-sea exploration. It has not changed in over 100 million years.

Relicanth Pearl         This rare Pokémon was discovered during a deep-sea exploration. It has not changed in over 100 million years.

Luvdisc Diamond           It lives in warm seas. It is said that couples who find this Pokémon will be blessed with eternal love.

Luvdisc Pearl         It lives in warm seas. It is said that couples who find this Pokémon will be blessed with eternal love.

Shelgon Diamond           Within its rugged shell, its cells have begun changing. The shell peels off the instant the Pokémon evolves.

Shelgon Pearl         Within its rugged shell, its cells have begun changing. The shell peels off the instant the Pokémon evolves.

Beldum Diamond           They converse with one another by using magnetic pulses. In a swarm, they move in perfect unison.

Beldum Pearl         They converse with one another by using magnetic pulses. In a swarm, they move in perfect unison.

Metang Diamond           It is formed by two Beldum joining together. Its steel body won't be scratched if it collides with a jet.

Metang Pearl         It is formed by two Beldum joining together. Its steel body won't be scratched if it collides with a jet.

Regirock Diamond           Its entire body is made of rock. If any part chips off in battle, Regirock attaches rocks to repair itself.

Regirock Pearl         Its entire body is made of rock. If any part chips off in battle, Regirock attaches rocks to repair itself.

Regice Diamond           Its body is made of ice from the ice age. It controls frigid air of ?328 degrees Fahrenheit.

Regice Pearl         Its body is made of ice from the ice age. It controls frigid air of ?328 degrees Fahrenheit.

Latias Diamond           Its body is covered with a down that can refract light in such a way that it becomes invisible.

Latias Pearl         Its body is covered with a down that can refract light in such a way that it becomes invisible.

Latios Diamond           It is a highly intelligent Pokémon. By folding back its forelegs in flight, it can overtake jet planes.

Latios Pearl         It is a highly intelligent Pokémon. By folding back its forelegs in flight, it can overtake jet planes.

Rayquaza Diamond           It lives in the ozone layer far above the clouds and cannot be seen from the ground.

Rayquaza Pearl         It lives in the ozone layer far above the clouds and cannot be seen from the ground.

Jirachi Diamond           It is said to wake up for just seven days every 1,000 years and use its power to grant any wish.

Jirachi Pearl         It is said to wake up for just seven days every 1,000 years and use its power to grant any wish.

Deoxys Diamond           An alien virus that fell to earth on a meteorite underwent a DNA mutation to become this Pokémon.

Deoxys Pearl         An alien virus that fell to earth on a meteorite underwent a DNA mutation to become this Pokémon.

Turtwig Pearl         It undertakes photosynthesis within its body, making oxygen. The leaf on its head wilts if the Pokémon is thirsty.

Grotle Diamond           It lives along water in forests. In the daytime, it leaves the forest to sunbathe the trees on its shell.

Grotle Pearl         Its shell is hardened soil. Some Pokémon come to peck the berries growing on the trees on its back.

Torterra Pearl         Groups of this Pokémon migrating in search of water have been mistaken for moving forests.

Chimchar Pearl         Its fiery rear end is fueled by gas made in its belly. Even rain can't extinguish the fire.

Monferno Diamond           To intimidate attackers, it expands the fire on its tail to make itself appear bigger.

Monferno Pearl         It uses ceilings and walls to launch aerial attacks. Its fiery tail is but one of its weapons.

Piplup Pearl         It lives along the shore in northern countries. A skilled swimmer, it dives for over 10 minutes while hunting.

Staravia Diamond           They fly around forests and fields in search of bug Pokémon, moving together in huge flocks.

Staravia Pearl         They live in forests and fields. Squabbles over territory occur when flocks collide.

Staraptor Diamond           It has a savage nature. It will courageously challenge foes that are much larger than itself.

Kricketot Pearl         It chats with others using the sounds of its colliding antennae. These sounds are the hallmarks of fall evenings.

Shinx Pearl         Its forelegs have a muscle-based system of generating electricity. Its body shines when it is in danger.

Luxio Diamond           Its claws loose electricity with enough amperage to cause opponents to faint. It lives in small groups.

Luxray Diamond           It has eyes that can see through anything. It spots and captures prey hiding behind objects.

Luxray Pearl         When its eyes gleam gold, it can spot hiding prey—even those taking shelter behind a wall.

Cranidos Pearl         It was resurrected from an iron-ball-like fossil. It downs prey with its headbutts.

Rampardos Diamond           Its powerful headbutt has enough force to shatter even the most durable things upon impact.

Bastiodon Pearl         When attacked, they form a wall with their shield-like faces to protect their young.

Wormadam Diamond           When Burmy evolves, its cloak becomes a part of its body. Wormadam's cloak is never shed.

Mothim Diamond           It loves the nectar of flowers and steals nectar collected by Combee.

Mothim Pearl         It does not keep a nest. It flies over fields and mountains in constant search of its much-beloved nectar.

Combee Diamond           Three Pokémon joined to become one. It busily carries sweet nectar to Vespiquen.

Combee Pearl         They collect and deliver honey to their colony. At night, they cluster to form a beehive and sleep.

Vespiquen Diamond           Its abdomen is a honeycomb for grubs. It raises its grubs on nectar collected by Combee.

Vespiquen Pearl         When it is in danger, grubs from its six-cell honeycomb strike back. There is only one in a colony.

Pachirisu Diamond           It stores its own fur balls that crackle with static electricity together with its favorite berries in tree hollows.

Buizel Diamond           When air fills the flotation sac on its neck, the sac balloons like an inner tube. This Pokémon floats with its head out of the water.

Floatzel Pearl         Its flotation sac developed as a result of pursuing aquatic prey. Floatzel carries people as if it were a rubber raft.

Cherubi Pearl         Sunlight colors it red. When the small ball is drained of nutrients and shriveled, evolution is near.

Cherrim Diamond           It blooms during times of strong sunlight. The Pokémon tries to make up for everything it endured as a bud.

Cherrim Pearl         It is docile as a bud and turns cheerful when it blooms. It folds back into a bud if sunlight wanes.

Shellos Diamond           Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed.

Shellos Pearl         It lives along bodies of water. Its body shape changed to suit its habitat.

Drifloon Diamond           It is a Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons.

Drifloon Pearl         It tugs on the hands of children to spirit them away. However, it gets pulled around instead.

Drifblim Diamond           They're drowsy in daytime but fly off in the evening in big groups. No one knows where they go.

Lopunny Diamond           An extremely cautious Pokémon that cloaks its body with its fluffy ear fur when it senses danger.

Lopunny Pearl         It likes to keep itself clean and never fails to groom its ears. It runs with sprightly jumps.

Mismagius Diamond           Its cries sound like incantations. Those who hear it are tormented by headaches and hallucinations.

Mismagius Pearl         It chants incantations. While these incantations can torment targets, some bring happiness.

Honchkrow Diamond           Becoming active at night, it is known to form flocks with numerous Murkrow in tow.

Purugly Diamond           It is a brazen brute that barges its way into another Pokémon's nest and claims it as its own.

Purugly Pearl         To make itself appear intimidatingly beefy, it tightly cinches its waist with its split tail.

Skuntank Diamond           It sprays a vile-smelling fluid from the tip of its tail to attack. It can fire this spray more than 160 feet.

Skuntank Pearl         It sprays a stinky fluid from its tail. The fluid smells worse the longer it is allowed to fester in its belly.

Bronzor Diamond           Implements shaped like Bronzor were discovered in ancient tombs. It is unknown whether they are related.

Bronzor Pearl         X-ray photos were taken to check its body structure, but nothing was seen.

Bronzong Diamond           One caused a media storm when it was dug up at a construction site after a 2,000-year sleep.

Bonsly Diamond           It looks as if it is always crying. It is actually adjusting its body's fluid levels by eliminating excess.

Bonsly Pearl         It prefers arid environments. It leaks water from its eyes to adjust its body's fluid levels.

Mime Jr. Diamond           It habitually mimics foes. The mimicked foe is said to be unable to look away from Mime Jr.

Happiny Diamond           It loves round, white things. It carries an egg-shaped rock in imitation of Chansey.

Chatot Diamond           They can learn and speak human words. If they gather, they all learn the same saying.

Chatot Pearl         It keeps rhythm by flicking its tail feathers like a metronome. It also imitates human speech.

Spiritomb Diamond           It is a Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.

Spiritomb Pearl         It was bound to a fissure in an odd keystone as punishment for misdeeds 500 years ago.

Gabite Diamond           There is a long-held belief that medicine made from its scales will heal incurable illnesses.

Munchlax Diamond           It wolfs down its weight in food once a day, swallowing it whole with almost no chewing.

Riolu Pearl         Its body is lithe yet powerful. It can crest three mountains and cross two canyons in one night.

Lucario Diamond           It has the ability to sense the auras of all things. It understands human speech.

Lucario Pearl         By sensing the aura emanating from others, it can read their thoughts and movements.

Hippowdon Pearl         Its huge mouth opens almost seven feet wide. It has enough power to completely crush a car.

Croagunk Pearl         It inflates its poison sacs and makes a blubbering sound to intimidate foes.

Toxicroak Pearl         The toxin made in its poison sac is pumped to the knuckle claws through tubes down its arms.

Carnivine Diamond           It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat its prey.

Carnivine Pearl         Using its tentacles to hang from branches, it looks like a plant when it is not moving. It awaits prey with its mouth wide open.

Finneon Pearl         The way its two tail fins flutter while it swims has earned it the nickname Beautifly of the Sea.

Lumineon Diamond           It lives on the deep-sea floor. It attracts prey by flashing patterns on its four fins.

Mantyke Diamond           A friendly Pokémon that senses the subtle flows of seawater using its two antennae.

Abomasnow Pearl         It blankets wide areas in snow by whipping up blizzards. It is also known as the Ice Monster.

Weavile Pearl         It sends signals to others of its kind by carving odd patterns on trees and ice.

Magnezone Diamond           It evolved from exposure to a special magnetic field. Its three units generate magnetism.

Magnezone Pearl         It evolved from exposure to a special magnetic field. Its three units generate magnetism.

Rhyperior Diamond           It puts rocks in holes in its palms and uses its muscles to shoot them. On rare occasions, the Pokémon even shoots out Geodude.

Rhyperior Pearl         It puts rocks in holes in its palms and uses its muscles to shoot them. On rare occasions, the Pokémon even shoots out Geodude.

Electivire Diamond           It pushes the tips of its two tails against the foe, then lets loose with over 20,000 volts of electricity.

Electivire Pearl         It pushes the tips of its two tails against the foe, then lets loose with over 20,000 volts of electricity.

Magmortar Diamond           It blasts fireballs of over 3,600 degrees Fahrenheit from the ends of its arms. It lives in volcanic craters.

Magmortar Pearl         It blasts fireballs of over 3,600 degrees Fahrenheit from the ends of its arms. It lives in volcanic craters.

Togekiss Diamond           It will never appear where there is strife. Sightings of this Pokémon have recently become rare.

Togekiss Pearl         It will never appear where there is strife. Sightings of this Pokémon have recently become rare.

Yanmega Diamond           By churning its wings, it creates shock waves that inflict critical internal injuries to foes.

Yanmega Pearl         By churning its wings, it creates shock waves that inflict critical internal injuries to foes.

Glaceon Diamond           As a defense mechanism, it can completely freeze its fur to make its hairs stand out like needles.

Glaceon Pearl         As a defense mechanism, it can completely freeze its fur to make its hairs stand out like needles.

Gliscor Diamond           It observes prey while hanging inverted from branches. When the chance presents itself, Gliscor swoops!

Gliscor Pearl         It observes prey while hanging inverted from branches. When the chance presents itself, Gliscor swoops!

Mamoswine Diamond           Its impressive tusks are made of ice. The ice age is over and the climate has warmed, so this Pokémon's population has thinned.

Mamoswine Pearl         Its impressive tusks are made of ice. The ice age is over and the climate has warmed, so this Pokémon's population has thinned.

Porygon-Z Diamond           Additional software was installed to make it an even better Pokémon. It began acting oddly, however.

Porygon-Z Pearl         Additional software was installed to make it an even better Pokémon. It began acting oddly, however.

Gallade Diamond           A master of courtesy and swordsmanship, it fights using the extending swords on its elbows.

Gallade Pearl         A master of courtesy and swordsmanship, it fights using the extending swords on its elbows.

Probopass Diamond           Its entire body exudes strong magnetism. Probopass controls three small units called Mini-Noses.

Probopass Pearl         Its entire body exudes strong magnetism. Probopass controls three small units called Mini-Noses.

Froslass Diamond           It freezes foes with an icy breath that is nearly ?60 degrees Fahrenheit. What seems to be its body is actually hollow.

Froslass Pearl         It freezes foes with an icy breath that is nearly ?60 degrees Fahrenheit. What seems to be its body is actually hollow.

Uxie Diamond           Known as the Being of Knowledge, it is said that it can wipe out the memory of those who see its eyes.

Mesprit Diamond           It is known as the Being of Emotion. It taught humans the nobility of sorrow, pain, and joy.

Mesprit Pearl         It sleeps at the bottom of a lake. Its spirit is said to leave its body to fly on the lake's surface.

Azelf Diamond           It is known as the Being of Willpower. It sleeps at the bottom of a lake to keep the world in balance.

Azelf Pearl         It is thought that Uxie, Mesprit, and Azelf all came from the same egg.

Dialga Pearl         This Pokémon is spoken of in legend. It is said that time began moving when Dialga was born.

Palkia Pearl         It is said to live in a gap in the spatial dimension parallel to ours. Palkia appears in mythology.

Cresselia Diamond           When it flies, it releases shiny particles from its veil-like wings. It is said to represent the crescent moon.

Cresselia Pearl         When it flies, it releases shiny particles from its veil-like wings. It is said to represent the crescent moon.

Manaphy Pearl         Water makes up 80 percent of its body. This Pokémon is easily affected by its environment.

Darkrai Diamond           It can lull people to sleep and make them dream. It is active during nights of a new moon.

Shaymin Diamond           It lives in common flower patches but is rarely noticed. It is often mistaken for a flowering plant when curled up.

Arceus Pearl         It is told in mythology that this Pokémon was the first Pokémon born before the universe even existed.
